Namelist,X_est,SE,pVal,Significance
Mu,-1.82861962076145e-06,0.68601736914466,0.999997873212201,0
Alpha,0.0335717926319388,0.0189771246347194,0.0768856333952647,0
Beta,0.949475613332722,0.042733945101351,2.29645752256354e-109,1
M,-10.7010548717889,0.472869147672997,2.20411410952383e-113,1
Theta_usgdp,-15.7265318215606,6.20806414893553,0.0113020579017348,1
Theta_uspercon,-9.47694118212435,3.90868933763888,0.0153269668306513,1
Theta_usretail,-3.13298691982892,1.0872228423054,0.00395643725866069,1
Theta_usindusp,3.35461017336053,1.51405073568421,0.026716772346378,1
Theta_uscapu,4.91471801385879,1.92248495229329,0.0105756666403335,1
Theta_usperin,2.10724870262738,1.19796781498047,0.0785770679789886,0
Theta_usconsum,-2.86434659123273,1.48963193406422,0.0545005471374027,0
Theta_usnewhome,-0.673296237972162,0.85576136953289,0.431414870468018,0
Theta_usdur,-0.475877480024462,1.14696756931247,0.6782176170935,0
Theta_usunem,-0.360573935105032,1.22052890033375,0.767671912045923,0
Theta_usconex,3.84217691774898,1.55456745939277,0.0134541113714629,1
Theta_usbusi,-0.741036241360427,1.09062258213443,0.49684951339739,0
Theta_usfeder,0.00656413858685726,1.19063872987286,0.995601228194375,0
Theta_uscpi,4.33461523671862,2.10949939616147,0.0398995030663417,1
Theta_uscci,0.104330924669989,0.888475366164509,0.906522645871826,0
Theta_usfederate,-0.0840855842327569,0.347074160752873,0.808572920414088,0
Theta_usm1,0.345549977787143,1.05463647349935,0.743179880628368,0
Theta_nvix,2.57430469236778,1.36610465468904,0.0595116424545105,0
W1_usgdp,4.54988918521385,1.36809514199792,0.000882033826118491,1
W1_uspercon,4.54988918521385,1.36809514199792,0.000882033826118485,1
W1_usretail,4.54988918521385,1.36809514199792,0.000882033826118481,1
W1_usindusp,4.54988918521385,1.36809514199792,0.000882033826118485,1
W1_uscapu,4.54988918521385,1.36809514199792,0.000882033826118495,1
W1_usperin,4.54988918521385,1.36809514199792,0.000882033826118495,1
W1_usconsum,4.54988918521385,1.36809514199792,0.000882033826118495,1
W1_usnewhome,4.54988918521385,1.36809514199792,0.000882033826118481,1
W1_usdur,4.54988918521385,1.36809514199792,0.000882033826118493,1
W1_usunem,4.54988918521385,1.36809514199792,0.000882033826118491,1
W1_usconex,4.54988918521385,1.36809514199792,0.000882033826118493,1
W1_usbusi,4.54988918521385,1.36809514199792,0.000882033826118491,1
W1_usfeder,4.54988918521385,1.36809514199792,0.000882033826118491,1
W1_uscpi,4.54988918521385,1.36809514199792,0.000882033826118491,1
W1_uscci,4.54988918521385,1.36809514199792,0.000882033826118477,1
W1_usfederate,4.54988918521385,1.36809514199792,0.000882033826118497,1
W1_usm1,4.54988918521385,1.36809514199792,0.000882033826118487,1
W1_nvix,4.54988918521385,1.36809514199792,0.000882033826118481,1
W2_usgdp,4.54988918521385,1.36809514199792,0.000882033826118491,1
W2_uspercon,4.54988918521385,1.36809514199792,0.000882033826118487,1
W2_usretail,4.54988918521385,1.36809514199792,0.000882033826118491,1
W2_usindusp,4.54988918521385,1.36809514199792,0.000882033826118491,1
W2_uscapu,4.54988918521385,1.36809514199792,0.000882033826118487,1
W2_usperin,4.54988918521385,1.36809514199792,0.000882033826118481,1
W2_usconsum,4.54988918521385,1.36809514199792,0.000882033826118489,1
W2_usnewhome,4.54988918521385,1.36809514199792,0.000882033826118487,1
W2_usdur,4.54988918521385,1.36809514199792,0.000882033826118485,1
W2_usunem,4.54988918521385,1.36809514199792,0.000882033826118481,1
W2_usconex,4.54988918521385,1.36809514199792,0.000882033826118483,1
W2_usbusi,4.54988918521385,1.36809514199792,0.000882033826118471,1
W2_usfeder,4.54988918521385,1.36809514199792,0.000882033826118479,1
W2_uscpi,4.54988918521385,1.36809514199792,0.000882033826118499,1
W2_uscci,4.54988918521385,1.36809514199792,0.000882033826118491,1
W2_usfederate,4.54988918521385,1.36809514199792,0.000882033826118481,1
W2_usm1,4.54988918521385,1.36809514199792,0.000882033826118489,1
W2_nvix,4.54988918521385,1.36809514199792,0.000882033826118481,1
